Element ID,Element Name,Renamed,Description
2,Worker Requirements,,Worker Requirements
2.A,Basic Skills,,Developed capacities that facilitate learning or the more rapid acquisition of knowledge
2.A.1,Content,,Background structures needed to work with and acquire more specific skills in a variety of different domains
2.A.1.a,Reading Comprehension,Reading,Understanding written sentences and paragraphs in work-related documents.
2.A.1.b,Active Listening,Listening,"Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times."
2.A.1.c,Writing,Writing,Communicating effectively in writing as appropriate for the needs of the audience.
2.A.1.d,Speaking,Speaking,Talking to others to convey information effectively.
2.A.1.e,Mathematics,Math,Using mathematics to solve problems.
2.A.1.f,Science,Science,Using scientific rules and methods to solve problems.
2.A.2,Process,,Procedures that contribute to the more rapid acquisition of knowledge and skill across a variety of domains
2.A.2.a,Critical Thinking,Critical Thinking,"Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems."
2.A.2.b,Active Learning,,Understanding the implications of new information for both current and future problem-solving and decision-making.
2.A.2.c,Learning Strategies,,Selecting and using training/instructional methods and procedures appropriate for the situation when learning or teaching new things.
2.A.2.d,Monitoring,,"Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action."
2.B,Cross-Functional Skills,,Developed capacities that facilitate performance of activities that occur across jobs
2.B.1,Social Skills,Social,Developed capacities used to work with people to achieve goals
2.B.1.a,Social Perceptiveness,,Being aware of others' reactions and understanding why they react as they do.
2.B.1.b,Coordination,,Adjusting actions in relation to others' actions.
2.B.1.c,Persuasion,,Persuading others to change their minds or behavior.
2.B.1.d,Negotiation,,Bringing others together and trying to reconcile differences.
2.B.1.e,Instructing,,Teaching others how to do something.
2.B.1.f,Service Orientation,,Actively looking for ways to help people.
2.B.2,Complex Problem Solving Skills,,"Developed capacities used to solve novel, ill-defined problems in complex, real-world settings"
2.B.2.i,Complex Problem Solving,,Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions.
2.B.3,Technical Skills,Technical,"Developed capacities used to design, set-up, operate, and correct malfunctions involving application of machines or technological systems"
2.B.3.a,Operations Analysis,,Analyzing needs and product requirements to create a design.
2.B.3.b,Technology Design,,Generating or adapting equipment and technology to serve user needs.
2.B.3.c,Equipment Selection,,Determining the kind of tools and equipment needed to do a job.
2.B.3.d,Installation,,"Installing equipment, machines, wiring, or programs to meet specifications."
2.B.3.e,Programming,,Writing computer programs for various purposes.
2.B.3.g,Operations Monitoring,,"Watching gauges, dials, or other indicators to make sure a machine is working properly."
2.B.3.h,Operation and Control,,Controlling operations of equipment or systems.
2.B.3.j,Equipment Maintenance,,Performing routine maintenance on equipment and determining when and what kind of maintenance is needed.
2.B.3.k,Troubleshooting,,Determining causes of operating errors and deciding what to do about it.
2.B.3.l,Repairing,,Repairing machines or systems using the needed tools.
2.B.3.m,Quality Control Analysis,,"Conducting tests and inspections of products, services, or processes to evaluate quality or performance."
2.B.4,Systems Skills,,"Developed capacities used to understand, monitor, and improve socio-technical systems"
2.B.4.e,Judgment and Decision Making,"Judgment,Decision Making",Considering the relative costs and benefits of potential actions to choose the most appropriate one.
2.B.4.g,Systems Analysis,Analysis,"Determining how a system should work and how changes in conditions, operations, and the environment will affect outcomes."
2.B.4.h,Systems Evaluation,Evaluation,"Identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system."
2.B.5,Resource Management Skills,Management,Developed capacities used to allocate resources efficiently
2.B.5.a,Time Management,,Managing one's own time and the time of others.
2.B.5.b,Management of Financial Resources,Finance,"Determining how money will be spent to get the work done, and accounting for these expenditures."
2.B.5.c,Management of Material Resources,,"Obtaining and seeing to the appropriate use of equipment, facilities, and materials needed to do certain work."
2.B.5.d,Management of Personnel Resources,,"Motivating, developing, and directing people as they work, identifying the best people for the job."
2.C,Knowledge,,Organized sets of principles and facts applying in general domains
2.C.1,Business and Management,Business,"Knowledge of principles and facts related to business administration and accounting, human and material resource management in organizations, sales and marketing, economics, and office information and organizing systems"
2.C.1.a,Administration and Management,Administration,"Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources."
2.C.1.b,Administrative,,"Knowledge of administrative and office procedures and systems such as word processing, managing files and records, stenography and transcription, designing forms, and workplace terminology."
2.C.1.c,Economics and Accounting,"Economics,Accounting","Knowledge of economic and accounting principles and practices, the financial markets, banking, and the analysis and reporting of financial data."
2.C.1.d,Sales and Marketing,"Sales,Marketing","Knowledge of principles and methods for showing, promoting, and selling products or services. This includes marketing strategy and tactics, product demonstration, sales techniques, and sales control systems."
2.C.1.e,Customer and Personal Service,Customer Service,"Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction."
2.C.1.f,Personnel and Human Resources,Human Resources,"Knowledge of principles and procedures for personnel recruitment, selection, training, compensation and benefits, labor relations and negotiation, and personnel information systems."
2.C.2,Manufacturing and Production,"Manufacturing,Production","Knowledge of principles and facts related to the production, processing, storage, and distribution of manufactured and agricultural goods"
2.C.2.a,Production and Processing,,"Knowledge of raw materials, production processes, quality control, costs, and other techniques for maximizing the effective manufacture and distribution of goods."
2.C.2.b,Food Production,,"Knowledge of techniques and equipment for planting, growing, and harvesting food products (both plant and animal) for consumption, including storage/handling techniques."
2.C.3,Engineering and Technology,Engineering,"Knowledge of the design, development, and application of technology for specific purposes."
2.C.3.a,Computers and Electronics,,"Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming."
2.C.3.b,Engineering and Technology,,"Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services."
2.C.3.c,Design,,"Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models."
